"candidate_id","family","candidate_or_sentinel","official_source","source_date","geography","source_type","permitted_claim_class","verification_state","relationship_state","decision_use","primary_risks","next_evidence","refresh_trigger"
"ECO-001","Multi-device self-blocking","Freedom","https://support.freedom.to/en/articles/4385673-how-to-get-started-with-freedom","2026-07-15","Global/vendor-dependent","Official vendor help","Vendor-stated capability","Desk review; hands-on pending","No relationship or contact","Cross-device/adapter comparator","Account/sync; per-device setup; recovery; cancellation","Synthetic hands-on and independent privacy/security review","Before comparison/purchase or source change"
"ECO-002","Intervention/friction","one sec","https://one-sec.app/platforms/","2026-07-15","Global/vendor-dependent","Official vendor page","Vendor-stated positioning","Desk review; hands-on pending","No relationship or contact","Supportive/friction comparator","Outcome claims; data; bypass; accessibility","Hands-on and independent outcome/privacy evidence","Before comparison/purchase or source change"
"ECO-003","Open browser blocker","LeechBlock NG","https://addons.mozilla.org/en-US/firefox/addon/leechblock-ng/","2026-07-15","Firefox store regions","Official store listing","Listing-stated capability","Desk review; hands-on pending","No relationship or contact","Free/open browser comparator","Permissions; profile scope; removal; maintenance","Code/security review and synthetic hands-on","Before comparison or material release change"
"ECO-004","Specialist accountability/blocking","Covenant Eyes","https://www.covenanteyes.com/victory/how-it-works/","2026-07-15","Vendor-dependent","Official vendor page","Vendor-stated positioning","Desk review; hands-on pending","No relationship or contact","Accountability/coercion comparator","Recipient visibility; monitoring; shared devices; efficacy","Independent safety/privacy/evidence and hands-on review","Before comparison/outreach or source change"
"ECO-005","Specialist self-help/blocking","Migiri","https://www.migiri.app/faq","2026-07-15","Vendor-dependent","Official vendor page","Vendor-stated positioning","Desk review; hands-on pending","No relationship or contact","Specialist recovery-product comparator","Clinical language; platform/data/subscription/teardown","Independent clinical/privacy and hands-on review","Before comparison/outreach or source change"
"ECO-006","First-party self-control","Apple Screen Time","https://support.apple.com/guide/iphone/set-schedules-with-screen-time-iphb0c7313c9/ios","2026-07-15","Apple platform/region dependent","Official platform documentation","Platform-documented capability","Desk review; hands-on pending","No relationship or contact","Free first-party comparator","Passcode; sync; bypass; recovery; adult fit","Versioned device-matrix synthetic tests","Before comparison or OS change"
"ECO-007","Family/managed control","Microsoft Family Safety","https://support.microsoft.com/en-us/account-billing/roles-permissions-and-data-sharing-in-family-safety-2d0764e1-5ec5-f6a1-6898-0bc18f71e318","2026-07-15","Microsoft account regions","Official platform documentation","Platform-documented role/capability","Desk review; hands-on pending","No relationship or contact","Administrator/coercion comparator","Organizer authority; reporting; Edge/account dependency","Coercion/privacy and versioned hands-on tests","Before comparison or service change"
"ECO-008","Family/managed control","Google Family Link","https://support.google.com/families/answer/15077835?hl=en","2026-07-15","Google account/device dependent","Official platform documentation","Platform-documented role/capability","Desk review; hands-on pending","No relationship or contact","Child-supervision non-transfer comparator","Parent authority; child scope; device limits","Legal/coercion review; no adult transfer assumption","Before comparison or service change"
"ECO-009","DNS/network filtering","CleanBrowsing","https://cleanbrowsing.org/setup","2026-07-15","Vendor/network dependent","Official vendor documentation","Vendor-stated capability","Desk review; hands-on pending","No relationship or contact","Network-layer comparator","DNS metadata; household consent; VPN/DoH; teardown","Network privacy/security hands-on review","Before comparison/purchase or source change"
"ECO-010","Free household DNS","OpenDNS FamilyShield/Home","https://www.opendns.com/home-internet-security/","2026-07-15","Service/network dependent","Official vendor page","Vendor-stated capability","Desk review; hands-on pending","No relationship or contact","Free network comparator","Shared-network consent; terms; coverage; logs","Network privacy/legal and hands-on review","Before comparison or source change"
"ECO-011","Private planning/no tool","Paper note/calendar/current coping","","2026-07-16","Universal/context dependent","Obvious substitute; no vendor claim","Repository comparator","User research pending","No relationship","Required MVE comparator","Privacy of physical artifact; no product benefit assumption","Consented user comparison","Before MVE decision"
"ECO-012","Fellowship/multiple-path resource","Recovery Dharma resources","https://recoverydharma.org/resources/","2026-07-16","Global/community dependent","Official organization page","Official-source scope only","Desk review; rights itemization pending","No relationship or contact","Pathway/community sentinel","Rights; Buddhist fit; affiliation; community governance","Thread 03 rights/community and lived-experience review","Before use/link/outreach or source change"
"ECO-013","Secular recovery system","SMART Recovery","https://smartrecovery.org/what-is-smart-recovery","2026-07-15","Global/organization dependent","Official organization page","Official-source description","Desk review; rights/fit pending","No relationship or contact","Multiple-path sentinel","Rights; affiliation; fit; facilitator/evidence transfer","Thread 03 rights/community and independent evidence review","Before use/link/outreach or source change"
"ECO-014","Digital recovery support research","SAMHSA Digital Recovery Support Innovations","https://www.samhsa.gov/sites/default/files/digital-recovery-support-innovations-technical-expert-panel-summary.pdf","2026-07-16","United States context","Official public-agency report","Source scope and observations","Desk review only","No relationship or contact","Digital-support category framing","US applicability; evidence transfer; dated technology","Independent methods/applicability review","Before architecture claim or material update"
"ECO-015","Reward/contingency program","SAMHSA contingency management guidance","https://www.samhsa.gov/resource/ebp/using-samhsa-funds-implement-evidence-based-contingency-management-services","2026-07-16","United States program context","Official public-agency guidance","Source-specific guidance only","Desk review only","No relationship or contact","Reward-safety/economics sentinel","Clinical transfer; amount/rules; legal/equity; no app-token inference","Clinical/economic/legal review of exact intervention","Before reward hypothesis or source change"
"ECO-016","Public-health campaign","WHO behaviour-change communication guidance","https://www.who.int/about/communications/actionable/behaviour-change","2026-07-16","Global guidance","Official international-agency guidance","Source method scope only","Desk review only","No relationship or contact","Ethical campaign-method sentinel","Manipulation; cultural transfer; outcome overclaim","Campaign ethics/method and user research","Before campaign design or source change"
"ECO-017","Digital-environment public health","WHO digital environments and mental health","https://www.who.int/teams/mental-health-and-substance-use/promotion-prevention/digital-environments-and-mental-health","2026-07-16","Global guidance","Official international-agency page","Source scope only","Desk review only","No relationship or contact","Platform/public-health context","Broad mental-health transfer; policy currency","Public-health methods and applicability review","Before public-health claim or source change"
"ECO-018","AI/nonprofit credit program","OpenAI nonprofit program information","https://help.openai.com/en/articles/9359041","2026-07-16","Program/region dependent","Official provider help","Program-stated offer only","Eligibility and fit unverified","No relationship or contact","Future cost/partnership hypothesis","Eligibility; dependency; data/training; endorsement; changes","Entity decision then official eligibility review; no assumption","Before budget/outreach or terms change"
