source_id,domain,official_title,section_or_api,url,applicability,last_reviewed,claim_class,ambiguity,refresh_trigger
PLAT-CHROME-DNR,Chrome,chrome.declarativeNetRequest,"Description; permissions; rulesets",https://developer.chrome.com/docs/extensions/reference/api/declarativeNetRequest,"Chrome 84+ documentation",2026-07-15,official_capability,"Cross-Chromium and store behavior untested","API or Manifest change"
PLAT-CHROME-PERM,Chrome,Declare permissions,"Host permissions; incognito",https://developer.chrome.com/docs/extensions/develop/concepts/declare-permissions,"Manifest V3 guidance",2026-07-15,official_capability,"Warning text and comprehension untested","permission-model change"
PLAT-EDGE-EXT,Edge,Overview of Microsoft Edge extensions,"compatibility; publishing",https://learn.microsoft.com/en-us/microsoft-edge/extensions/,"Current Chromium-based Edge docs",2026-07-15,official_capability,"API parity not guaranteed","Edge/store update"
PLAT-FIREFOX-WR,Firefox,MDN webRequest,"permissions; request modification",https://developer.mozilla.org/en-US/docs/Mozilla/Add-ons/WebExtensions/API/webRequest,"Firefox WebExtensions",2026-07-15,official_capability,"Manifest/version behavior requires fixtures","Firefox API change"
PLAT-SAFARI-EXT,Apple,Safari app extensions,"overview; distribution",https://developer.apple.com/documentation/safariservices/safari-app-extensions,"Safari/macOS",2026-07-15,official_capability,"iOS parity unproven","Safari/OS release"
PLAT-APPLE-FC,Apple,AuthorizationCenter,"requestAuthorization; capability",https://developer.apple.com/documentation/FamilyControls/AuthorizationCenter,"Compatible iPhone/iPad app; entitlement",2026-07-15,entitlement_required,"Distribution and adult self-use approval open","entitlement or review change"
PLAT-APPLE-NE,Apple,Content filter providers,"provider overview; entitlement",https://developer.apple.com/documentation/networkextension/content-filter-providers,"Provider and entitlement specific",2026-07-15,entitlement_required,"Deployment and App Review open","entitlement or OS change"
PLAT-ANDROID-VPN,Android,VpnService,"prepare; onRevoke; always-on metadata",https://developer.android.com/reference/android/net/VpnService,"API 14+ with level-specific behavior",2026-07-15,official_capability,"OEM battery conflict and store policy untested","API OEM or Play policy change"
PLAT-ANDROID-MGMT,Android,Android Management API,"enroll and provision",https://developers.google.com/android/management/provision-device,"Enterprise/work-profile lifecycle",2026-07-15,managed_only,"Not ordinary self-installed consumer control","management API change"
PLAT-MS-FAMILY,Microsoft,Filter websites and searches using Microsoft Family Safety,"web filter; role model",https://support.microsoft.com/en-us/family-safety/filter-websites-and-searches-using-microsoft-family-safety,"Current support page",2026-07-15,guidance_only,"Adult voluntary role suitability untested","support-policy change"
PLAT-APPLE-ST,Apple,Get started with Screen Time on iPhone,"manual settings",https://support.apple.com/guide/iphone/get-started-with-screen-time-iphbfa595995/ios,"Current iOS guide",2026-07-15,guidance_only,"Not a generic third-party API","iOS guide change"
PLAT-GOOGLE-SS,Google,Lock SafeSearch,"account device and network controls",https://support.google.com/websearch/answer/186669,"Google Search only",2026-07-15,guidance_only,"Does not filter other sites or engines","support-policy change"
